"label","date","divergence"
"IQ108_2012.4","2012.4",0.1885696539
"IQ203_2012.11","2012.11",0.1862588183
"IQ004_2014.3","2014.3",0.2056780203
"IQ007_2014.7","2014.7",0.1794692384
"IQ120_2012.5","2012.5",0.1568188044
"IQ212_2015.3","2015.3",0.1577883962
"IQ170_2012.4","2012.4",0.198068098
"IQ086_2012.1","2012.1",0.2198855378
"IQ210_2014.9","2014.9",0.2257996335
"IQ187_2012.4","2012.4",0.2042281864
"IQ165_2012.3","2012.3",0.1910414093
"IQ015_2014.8","2014.8",0.1916990623
"IQ101_2012.3","2012.3",0.4253319978
"IQ003_2015.3","2015.3",0.428366242
"LHN001_2016","2016",0.4011612691
"IQ002_2014.9","2014.9",0.4011612691
"LHN006_2016","2016",0.3878594398
"IQ028_2011.11","2011.11",0.7156418233
"IQ045_2011.12","2011.12",0.7304704021
"IQ005_2014.8","2014.8",0.7419758242
"IQ019_2016.3","2016.3",0.7367885999
"IQ106_2012.4","2012.4",0.6936177013
"IQ050_2011.11","2011.11",0.2791033927
"IQ149_2011.2","2011.2",0.2548911958
"IQ006_2014.7","2014.7",0.2630006381
"IQ146_2012.12","2012.12",0.2617600956
"IQ083_2012.2","2012.2",0.2678056917
"LH057_2015.1","2015.1",0.2481612695
"IQ001_2015.7","2015.7",0.250800555
"IQ017_2015.2","2015.2",0.2535775519
"IQ129_2012.4","2012.4",0.2334449169
"IQ158_2011.7","2011.7",0.2452443059
"IQ209_2016.3","2016.3",0.244493606
"IQ021_2011.4","2011.4",0.2548225845
"IQ207_2014.4","2014.4",0.2559030196
"LHC13_2015.1","2015.1",0.2487624991
"IQ016_2015.7","2015.7",0.2487651749
"LH135_2015.7","2015.7",0.2805912446
"IQ039_2011.11","2011.11",0.2742254959
"IQ013_2015.3","2015.3",0.2813716413
"IQ018_2015.2","2015.2",0.2563891163
"LH112_2014.7","2014.7",0.2526462052
"IQ011_2015.3","2015.3",0.2312571874
"IQ194_2012.5","2012.5",0.2350931244
"IQ009_2014.1","2014.1",0.2358061288
"IQ211_2015.2","2015.2",0.2356945614
"LH105_2015.7","2015.7",0.2493173374
"IQ010_2015.3","2015.3",0.2456654401
"IQ073_2012.1","2012.1",0.247904623
"IQ008_2014.1","2014.1",0.2391864801
"IQ130_2012.8","2012.8",0.2544797606
"LH086_2014.1","2014.1",0.236165635
"LH064_2014.7","2014.7",0.2230891782
"LH046_2014.6","2014.6",0.2220030582
"IQ139_2012.7","2012.7",0.2025369653
"IQ027_2011.11","2011.11",0.2034004325
"IQ059_2011.12","2011.12",0.2124907052
"LH080_2014.12","2014.12",0.2237758207
"IQ189_2012.5","2012.5",0.2001343399
"IQ071_2012.1","2012.1",0.1988694333
"IQ195_2012.8","2012.8",0.2185687266
"IQ054_2011.11","2011.11",0.2010241018
"IQ148_2011.2","2011.2",0.1962499969
"IQ136_2012.7","2012.7",0.2214039281
"IQ046_2011.12","2011.12",0.2237190295
"IQ084_2011.12","2011.12",0.1936810475
"LH060_2015.1","2015.1",0.2180484081
"IQ185_2012.4","2012.4",0.1751598476
"IQ088_2012.1","2012.1",0.189481472
"IQ075_2011.12","2011.12",0.1583988875
"IQ069_2012.1","2012.1",0.1611483589
"LH109_2015.2","2015.2",0.0455115342
"LHN004_2016","2016",0.049001274
"IQ068_2011.12","2011.12",0.0223215662
"IQ092_2012.3","2012.3",0
