Isolate,Lineage.x,Virulence_gene_count,Lineage.y,label
IQ001,VII,15,VII,IQ001_2015.7
IQ002,III,19,III,IQ002_2014.9
IQ003,III,18,III,IQ003_2015.3
IQ004,V,12,V,IQ004_2014.3
IQ005,I,8,I,IQ005_2014.8
IQ006,VII,12,VII,IQ006_2014.7
IQ007,V,10,V,IQ007_2014.7
IQ008,VII,17,VII,IQ008_2014.1
IQ009,VI,18,VI,IQ009_2014.1
IQ010,VII,18,VII,IQ010_2015.3
IQ011,VII,15,VII,IQ011_2015.3
IQ013,VI,13,VI,IQ013_2015.3
IQ015,V,11,V,IQ015_2014.8
IQ016,VI,16,VI,IQ016_2015.7
IQ017,VII,12,VII,IQ017_2015.2
IQ018,VI,15,VI,IQ018_2015.2
IQ019,I,7,I,IQ019_2016.3
IQ021,VI,13,VI,IQ021_2011.4
IQ027,V,12,V,IQ027_2011.11
IQ028,I,7,I,IQ028_2011.11
IQ039,VI,12,VI,IQ039_2011.11
IQ045,I,9,I,IQ045_2011.12
IQ046,V,12,V,IQ046_2011.12
IQ050,VII,14,VII,IQ050_2011.11
IQ054,V,11,V,IQ054_2011.11
IQ059,V,11,V,IQ059_2011.12
IQ068,V,12,V,IQ068_2011.12
IQ069,V,10,V,IQ069_2012.1
IQ071,V,12,V,IQ071_2012.1
IQ073,VII,15,VII,IQ073_2012.1
IQ075,V,10,V,IQ075_2011.12
IQ083,VII,14,VII,IQ083_2012.2
IQ084,V,11,V,IQ084_2011.12
IQ086,V,14,V,IQ086_2012.1
IQ088,V,11,V,IQ088_2012.1
IQ092,V,15,V,IQ092_2012.3
IQ101,III,18,III,IQ101_2012.3
IQ106,I,8,I,IQ106_2012.4
IQ108,V,12,V,IQ108_2012.4
IQ120,V,12,V,IQ120_2012.5
IQ129,VI,15,VI,IQ129_2012.4
IQ130,VII,15,VII,IQ130_2012.8
IQ136,V,11,V,IQ136_2012.7
IQ139,V,10,V,IQ139_2012.7
IQ146,VII,17,VII,IQ146_2012.12
IQ148,V,13,V,IQ148_2011.2
IQ149,VII,13,VII,IQ149_2011.2
IQ158,VI,14,VI,IQ158_2011.7
IQ165,V,11,V,IQ165_2012.3
IQ170,V,10,V,IQ170_2012.4
IQ185,V,9,V,IQ185_2012.4
IQ187,V,13,V,IQ187_2012.4
IQ189,V,12,V,IQ189_2012.5
IQ194,VII,16,VII,IQ194_2012.5
IQ195,V,11,V,IQ195_2012.8
IQ203,V,10,V,IQ203_2012.11
IQ207,VI,13,VI,IQ207_2014.4
IQ209,VI,16,VI,IQ209_2016.3
IQ210,V,11,V,IQ210_2014.9
IQ211,VII,16,VII,IQ211_2015.2
IQ212,V,12,V,IQ212_2015.3
LH046,V,15,V,LH046_2014.6
LH057,VII,14,VII,LH057_2015.1
LH060,V,12,V,LH060_2015.1
LH064,V,11,V,LH064_2014.7
LH080,V,11,V,LH080_2014.12
LH086,VII,13,VII,LH086_2014.1
LH105,VII,14,VII,LH105_2015.7
LH109,V,14,V,LH109_2015.2
LH112,V,15,VI,LH112_2014.7
LH135,VI,15,VI,LH135_2015.7
LHC13,VI,15,VI,LHC13_2015.1
LHN001,III,20,III,LHN001_2016
LHN004,V,11,V,LHN004_2016
LHN006,III,15,III,LHN006_2016
