Isolate,Lineage,Virulence_gene_count,label
IQ001,VII,15,IQ001_2015.7
IQ002,III,19,IQ002_2014.9
IQ003,III,18,IQ003_2015.3
IQ004,V,12,IQ004_2014.3
IQ005,I,8,IQ005_2014.8
IQ006,VII,12,IQ006_2014.7
IQ007,V,10,IQ007_2014.7
IQ008,VII,17,IQ008_2014.1
IQ009,VI,18,IQ009_2014.1
IQ010,VII,18,IQ010_2015.3
IQ011,VII,15,IQ011_2015.3
IQ013,VI,13,IQ013_2015.3
IQ015,V,11,IQ015_2014.8
IQ016,VI,16,IQ016_2015.7
IQ017,VII,12,IQ017_2015.2
IQ018,VI,15,IQ018_2015.2
IQ019,I,7,IQ019_2016.3
IQ021,VI,13,IQ021_2011.4
IQ027,V,12,IQ027_2011.11
IQ028,I,7,IQ028_2011.11
IQ039,VI,12,IQ039_2011.11
IQ045,I,9,IQ045_2011.12
IQ046,V,12,IQ046_2011.12
IQ050,VII,14,IQ050_2011.11
IQ054,V,11,IQ054_2011.11
IQ059,V,11,IQ059_2011.12
IQ068,V,12,IQ068_2011.12
IQ069,V,10,IQ069_2012.1
IQ071,V,12,IQ071_2012.1
IQ073,VII,15,IQ073_2012.1
IQ075,V,10,IQ075_2011.12
IQ083,VII,14,IQ083_2012.2
IQ084,V,11,IQ084_2011.12
IQ086,V,14,IQ086_2012.1
IQ088,V,11,IQ088_2012.1
IQ092,V,15,IQ092_2012.3
IQ101,III,18,IQ101_2012.3
IQ106,I,8,IQ106_2012.4
IQ108,V,12,IQ108_2012.4
IQ120,V,12,IQ120_2012.5
IQ129,VI,15,IQ129_2012.4
IQ130,VII,15,IQ130_2012.8
IQ136,V,11,IQ136_2012.7
IQ139,V,10,IQ139_2012.7
IQ146,VII,17,IQ146_2012.12
IQ148,V,13,IQ148_2011.2
IQ149,VII,13,IQ149_2011.2
IQ158,VI,14,IQ158_2011.7
IQ165,V,11,IQ165_2012.3
IQ170,V,10,IQ170_2012.4
IQ185,V,9,IQ185_2012.4
IQ187,V,13,IQ187_2012.4
IQ189,V,12,IQ189_2012.5
IQ194,VII,16,IQ194_2012.5
IQ195,V,11,IQ195_2012.8
IQ203,V,10,IQ203_2012.11
IQ207,VI,13,IQ207_2014.4
IQ209,VI,16,IQ209_2016.3
IQ210,V,11,IQ210_2014.9
IQ211,VII,16,IQ211_2015.2
IQ212,V,12,IQ212_2015.3
LH046,V,15,LH046_2014.6
LH057,VII,14,LH057_2015.1
LH060,V,12,LH060_2015.1
LH064,V,11,LH064_2014.7
LH080,V,11,LH080_2014.12
LH086,VII,13,LH086_2014.1
LH105,VII,14,LH105_2015.7
LH109,V,14,LH109_2015.2
LH112,V,15,LH112_2014.7
LH135,VI,15,LH135_2015.7
LHC13,VI,15,LHC13_2015.1
LHN001,III,20,LHN001_2016
LHN004,V,11,LHN004_2016
LHN006,III,15,LHN006_2016
